Date,Model,Prompt,Completion,Reasoning,Total_Tokens
2025-11-11,deepseek/deepseek-r1,1.208996,0.261016,0.170263,1.470012
2025-11-11,qwen/qwen3-embedding-4b,0.096853,0.0,0.0,0.096853
2025-11-11,moonshotai/kimi-k2-thinking,5.334877,0.30927,0.214306,5.644146
2025-11-11,qwen/qwen3-embedding-8b,0.992495,0.0,0.0,0.992495
2025-11-12,deepseek/deepseek-r1,0.455575,0.121277,0.086071,0.576851
2025-11-12,moonshotai/kimi-k2-thinking,5.788651,0.49922,0.384477,6.28787
2025-11-12,qwen/qwen3-embedding-4b,0.081232,0.0,0.0,0.081232
2025-11-12,qwen/qwen3-embedding-8b,1.098952,0.0,0.0,1.098952
2025-11-13,moonshotai/kimi-k2-thinking,3.771371,0.398354,0.287571,4.169725
2025-11-13,deepseek/deepseek-r1,0.455896,0.136211,0.097001,0.592108
2025-11-13,qwen/qwen3-embedding-8b,1.116967,0.0,0.0,1.116967
2025-11-13,openai/gpt-5.1,0.343567,0.027861,0.016373,0.371428
2025-11-13,qwen/qwen3-embedding-4b,0.073425,0.0,0.0,0.073425
2025-11-14,openai/gpt-5.1,3.905102,0.234855,0.134534,4.139956
2025-11-14,qwen/qwen3-embedding-8b,4.914992,0.0,0.0,4.914992
2025-11-14,deepseek/deepseek-r1,0.436754,0.14682,0.106536,0.583573
2025-11-14,moonshotai/kimi-k2-thinking,5.89585,0.60001,0.400202,6.49586
2025-11-14,qwen/qwen3-embedding-4b,0.112084,0.0,0.0,0.112084
2025-11-15,openai/gpt-5.1,4.587368,0.372237,0.232707,4.959604
2025-11-15,moonshotai/kimi-k2-thinking,3.110244,0.90834,0.905406,4.018583
2025-11-15,deepseek/deepseek-r1,0.553009,0.156574,0.112339,0.709583
2025-11-15,qwen/qwen3-embedding-8b,4.204176,0.0,0.0,4.204176
2025-11-15,qwen/qwen3-embedding-4b,0.057206,0.0,0.0,0.057206
2025-11-16,qwen/qwen3-embedding-4b,0.009834,0.0,0.0,0.009834
2025-11-16,openai/gpt-5.1,4.380325,0.334212,0.208616,4.714536
2025-11-16,deepseek/deepseek-r1,0.548656,0.156029,0.124448,0.704685
2025-11-16,qwen/qwen3-embedding-8b,1.366979,0.0,0.0,1.366979
2025-11-16,moonshotai/kimi-k2-thinking,3.255245,0.328226,0.205204,3.583472
2025-11-17,moonshotai/kimi-k2-thinking,3.890287,0.374934,0.226861,4.265221
2025-11-17,openai/gpt-5.1,4.642065,0.293895,0.169022,4.93596
2025-11-17,deepseek/deepseek-r1,0.642752,0.183032,0.139315,0.825785
2025-11-17,qwen/qwen3-embedding-4b,0.073149,0.0,0.0,0.073149
2025-11-17,qwen/qwen3-embedding-8b,0.773812,0.0,0.0,0.773812
2025-11-18,moonshotai/kimi-k2-thinking,3.887,0.720353,0.649896,4.607353
2025-11-18,qwen/qwen3-embedding-4b,0.030203,0.0,0.0,0.030203
2025-11-18,deepseek/deepseek-r1,0.905598,0.180685,0.138295,1.086283
2025-11-18,google/gemini-3-pro-preview,9.133826,0.534161,0.376408,9.667987
2025-11-18,qwen/qwen3-embedding-8b,1.236465,0.0,0.0,1.236465
2025-11-18,openai/gpt-5.1,5.710789,0.46697,0.272597,6.177759
2025-11-19,google/gemini-3-pro-preview,28.656977,2.124873,1.555281,30.78185
2025-11-19,qwen/qwen3-embedding-4b,0.045781,0.0,0.0,0.045781
2025-11-19,deepseek/deepseek-r1,0.433654,0.136818,0.08855,0.570472
2025-11-19,moonshotai/kimi-k2-thinking,2.767116,0.430884,0.375215,3.198
2025-11-19,x-ai/grok-4.1-fast,0.025597,0.006159,0.005468,0.031756
2025-11-19,openai/gpt-5.1,6.271122,0.496909,0.260097,6.768031
2025-11-19,qwen/qwen3-embedding-8b,1.495809,0.0,0.0,1.495809
2025-11-20,openai/gpt-5.1,5.945752,0.576422,0.287404,6.522175
2025-11-20,google/gemini-3-pro-preview,31.66951,2.81269,2.054335,34.482199
2025-11-20,qwen/qwen3-embedding-4b,0.197402,0.0,0.0,0.197402
2025-11-20,qwen/qwen3-embedding-8b,3.541947,0.0,0.0,3.541947
2025-11-20,x-ai/grok-4.1-fast,68.972981,17.481076,12.353514,86.454056
2025-11-20,moonshotai/kimi-k2-thinking,2.535581,0.269593,0.22001,2.805174
2025-11-20,deepseek/deepseek-r1,0.502066,0.135327,0.091218,0.637393
2025-11-21,moonshotai/kimi-k2-thinking,3.619247,0.325115,0.244466,3.944362
2025-11-21,x-ai/grok-4.1-fast,75.171459,20.465767,13.391277,95.637226
2025-11-21,qwen/qwen3-embedding-4b,0.071153,0.0,0.0,0.071153
2025-11-21,openai/gpt-5.1,8.998881,0.474312,0.243356,9.473193
2025-11-21,deepseek/deepseek-r1,0.503577,0.140276,0.099774,0.643853
2025-11-21,google/gemini-3-pro-preview,29.68901,2.789308,2.047794,32.478318
2025-11-21,qwen/qwen3-embedding-8b,6.23691,0.0,0.0,6.23691
2025-11-22,deepseek/deepseek-r1,0.432386,0.113328,0.07575,0.545714
2025-11-22,x-ai/grok-4.1-fast,70.398393,22.136346,14.74753,92.534739
2025-11-22,qwen/qwen3-embedding-8b,3.494576,0.0,0.0,3.494576
2025-11-22,openai/gpt-5.1,8.019944,0.421462,0.229302,8.441407
2025-11-22,moonshotai/kimi-k2-thinking,2.820996,0.228715,0.160145,3.04971
2025-11-22,qwen/qwen3-embedding-4b,0.100049,0.0,0.0,0.100049
2025-11-22,google/gemini-3-pro-preview,20.513111,1.420995,0.925489,21.934106
2025-11-23,openai/gpt-5.1,4.160021,0.332721,0.183077,4.492742
2025-11-23,deepseek/deepseek-r1,0.410124,0.132355,0.090792,0.54248
2025-11-23,qwen/qwen3-embedding-4b,0.049717,0.0,0.0,0.049717
2025-11-23,qwen/qwen3-embedding-8b,1.967368,0.0,0.0,1.967368
2025-11-23,x-ai/grok-4.1-fast,85.999898,29.126052,20.123891,115.125949
2025-11-23,google/gemini-3-pro-preview,20.389521,1.236095,0.763061,21.625617
2025-11-23,moonshotai/kimi-k2-thinking,2.021715,0.248467,0.192678,2.270181
2025-11-24,qwen/qwen3-embedding-8b,5.941007,0.0,0.0,5.941007
2025-11-24,anthropic/claude-opus-4.5,1.502126,0.047925,0.005551,1.550051
2025-11-24,qwen/qwen3-embedding-4b,0.271123,0.0,0.0,0.271123
2025-11-24,openai/gpt-5.1,5.697198,0.523885,0.290158,6.221083
2025-11-24,google/gemini-3-pro-preview,30.155645,1.859088,1.205094,32.014733
2025-11-24,moonshotai/kimi-k2-thinking,4.333772,0.328209,0.246904,4.661981
2025-11-24,x-ai/grok-4.1-fast,80.816561,25.048358,16.817782,105.864918
2025-11-24,deepseek/deepseek-r1,0.573963,0.198305,0.154345,0.772268
2025-11-25,qwen/qwen3-embedding-8b,3.709703,0.0,0.0,3.709703
2025-11-25,qwen/qwen3-embedding-4b,4.490753,0.0,0.0,4.490753
2025-11-25,x-ai/grok-4.1-fast,73.311937,23.902887,15.662358,97.214824
2025-11-25,openai/gpt-5.1,6.319958,0.625344,0.35688,6.945301
2025-11-25,deepseek/deepseek-r1,0.607249,0.151967,0.110103,0.759216
2025-11-25,moonshotai/kimi-k2-thinking,7.172843,0.334848,0.239205,7.507691
2025-11-25,google/gemini-3-pro-preview,23.635615,2.181889,1.490989,25.817504
2025-11-25,anthropic/claude-opus-4.5,17.688782,0.447394,0.042404,18.136176
2025-11-26,qwen/qwen3-embedding-4b,4.256052,0.0,0.0,4.256052
2025-11-26,openai/gpt-5.1,5.355828,0.483319,0.26167,5.839146
2025-11-26,qwen/qwen3-embedding-8b,5.895622,0.0,0.0,5.895622
2025-11-26,moonshotai/kimi-k2-thinking,2.74498,0.454552,0.374009,3.199531
2025-11-26,anthropic/claude-opus-4.5,23.295747,0.494976,0.029648,23.790722
2025-11-26,deepseek/deepseek-r1,0.491855,0.183476,0.13304,0.675331
2025-11-26,google/gemini-3-pro-preview,22.152489,2.040939,1.250038,24.193428
2025-11-27,anthropic/claude-opus-4.5,19.184817,0.388071,0.038541,19.572888
2025-11-27,google/gemini-3-pro-preview,18.484214,1.945143,1.09697,20.429357
