Date,Model,Prompt,Completion,Reasoning,Total_Tokens
2025-11-11,deepseek/deepseek-r1,1.208996,0.261016,0.170263,1.470012
2025-11-11,qwen/qwen3-embedding-4b,0.096853,0.0,0.0,0.096853
2025-11-11,moonshotai/kimi-k2-thinking,5.334877,0.30927,0.214306,5.644146
2025-11-11,qwen/qwen3-embedding-8b,0.992495,0.0,0.0,0.992495
2025-11-12,deepseek/deepseek-r1,0.455575,0.121277,0.086071,0.576851
2025-11-12,moonshotai/kimi-k2-thinking,5.788651,0.49922,0.384477,6.28787
2025-11-12,qwen/qwen3-embedding-8b,1.098952,0.0,0.0,1.098952
2025-11-12,qwen/qwen3-embedding-4b,0.081198,0.0,0.0,0.081198
2025-11-13,openai/gpt-5.1,0.343567,0.027861,0.016373,0.371428
2025-11-13,moonshotai/kimi-k2-thinking,3.771371,0.398354,0.287571,4.169725
2025-11-13,qwen/qwen3-embedding-4b,0.073425,0.0,0.0,0.073425
2025-11-13,openai/gpt-5.1-codex,0.271347,0.006402,0.00474,0.277748
2025-11-13,qwen/qwen3-embedding-8b,1.116967,0.0,0.0,1.116967
2025-11-13,deepseek/deepseek-r1,0.455896,0.136211,0.097001,0.592108
2025-11-14,openai/gpt-5.1-codex,2.343904,0.039523,0.029125,2.383427
2025-11-14,openai/gpt-5.1,3.905102,0.234855,0.134534,4.139956
2025-11-14,qwen/qwen3-embedding-4b,0.111911,0.0,0.0,0.111911
2025-11-14,qwen/qwen3-embedding-8b,4.914992,0.0,0.0,4.914992
2025-11-14,moonshotai/kimi-k2-thinking,5.89585,0.60001,0.400202,6.49586
2025-11-14,deepseek/deepseek-r1,0.436692,0.146803,0.106525,0.583494
2025-11-15,openai/gpt-5.1-codex,2.116446,0.030078,0.021231,2.146524
2025-11-15,moonshotai/kimi-k2-thinking,3.109803,0.908207,0.90528,4.01801
2025-11-15,openai/gpt-5.1,4.587368,0.372237,0.232707,4.959604
2025-11-15,deepseek/deepseek-r1,0.552907,0.156546,0.112317,0.709453
2025-11-15,qwen/qwen3-embedding-4b,0.057206,0.0,0.0,0.057206
2025-11-15,qwen/qwen3-embedding-8b,4.203449,0.0,0.0,4.203449
2025-11-16,deepseek/deepseek-r1,0.548509,0.156,0.124431,0.704508
2025-11-16,qwen/qwen3-embedding-4b,0.009834,0.0,0.0,0.009834
2025-11-16,openai/gpt-5.1-codex,2.239937,0.040299,0.02237,2.280236
2025-11-16,moonshotai/kimi-k2-thinking,3.255245,0.328226,0.205204,3.583472
2025-11-16,qwen/qwen3-embedding-8b,1.366979,0.0,0.0,1.366979
2025-11-16,openai/gpt-5.1,4.379345,0.334175,0.208591,4.713519
2025-11-17,deepseek/deepseek-r1,0.642289,0.182945,0.139249,0.825235
2025-11-17,openai/gpt-5.1-codex,2.953439,0.064985,0.033539,3.018424
2025-11-17,qwen/qwen3-embedding-8b,0.773293,0.0,0.0,0.773293
2025-11-17,moonshotai/kimi-k2-thinking,3.890287,0.374934,0.226861,4.265221
2025-11-17,openai/gpt-5.1,4.639671,0.293703,0.168916,4.933374
2025-11-17,qwen/qwen3-embedding-4b,0.073149,0.0,0.0,0.073149
2025-11-18,moonshotai/kimi-k2-thinking,3.887,0.720353,0.649896,4.607353
2025-11-18,qwen/qwen3-embedding-4b,0.030199,0.0,0.0,0.030199
2025-11-18,qwen/qwen3-embedding-8b,1.236465,0.0,0.0,1.236465
2025-11-18,openai/gpt-5.1-codex,3.392082,0.050485,0.030938,3.442567
2025-11-18,deepseek/deepseek-r1,0.905598,0.180685,0.138295,1.086283
2025-11-18,openai/gpt-5.1,5.707565,0.466749,0.272476,6.174314
2025-11-18,google/gemini-3-pro-preview,9.130586,0.533938,0.376261,9.664525
2025-11-19,openai/gpt-5.1-codex,2.758294,0.037744,0.022587,2.796037
2025-11-19,qwen/qwen3-embedding-8b,1.495809,0.0,0.0,1.495809
2025-11-19,google/gemini-3-pro-preview,28.656977,2.124873,1.555281,30.78185
2025-11-19,qwen/qwen3-embedding-4b,0.045781,0.0,0.0,0.045781
2025-11-19,deepseek/deepseek-r1,0.433654,0.136818,0.08855,0.570472
2025-11-19,moonshotai/kimi-k2-thinking,2.767116,0.430884,0.375215,3.198
2025-11-19,x-ai/grok-4.1-fast,0.025597,0.006159,0.005468,0.031756
2025-11-19,openai/gpt-5.1,6.271122,0.496909,0.260097,6.768031
2025-11-20,google/gemini-3-pro-image-preview,0.009722,0.013187,0.00524,0.022909
2025-11-20,google/gemini-3-pro-preview,31.66951,2.81269,2.054335,34.482199
2025-11-20,openai/gpt-5.1,5.945752,0.576422,0.287404,6.522175
2025-11-20,deepseek/deepseek-r1,0.502066,0.135327,0.091218,0.637393
2025-11-20,moonshotai/kimi-k2-thinking,2.535581,0.269593,0.22001,2.805174
2025-11-20,qwen/qwen3-embedding-8b,3.541947,0.0,0.0,3.541947
2025-11-20,openai/gpt-5.1-codex,3.332905,0.043586,0.029364,3.376491
2025-11-20,x-ai/grok-4.1-fast,68.972981,17.481076,12.353514,86.454056
2025-11-20,qwen/qwen3-embedding-4b,0.197402,0.0,0.0,0.197402
2025-11-21,google/gemini-3-pro-image-preview,0.190566,0.290311,0.077501,0.480877
2025-11-21,openai/gpt-5.1-codex,3.179869,0.040422,0.02771,3.22029
2025-11-21,google/gemini-3-pro-preview,29.681276,2.788451,2.047114,32.469727
2025-11-21,openai/gpt-5.1,8.997376,0.474167,0.243279,9.471543
2025-11-21,qwen/qwen3-embedding-4b,0.071144,0.0,0.0,0.071144
2025-11-21,x-ai/grok-4.1-fast,75.171459,20.465767,13.391277,95.637226
2025-11-21,deepseek/deepseek-r1,0.503414,0.140241,0.099749,0.643655
2025-11-21,moonshotai/kimi-k2-thinking,3.619247,0.325115,0.244466,3.944362
2025-11-21,qwen/qwen3-embedding-8b,6.23691,0.0,0.0,6.23691
2025-11-22,openai/gpt-5.1-codex,2.376727,0.039514,0.027435,2.416241
2025-11-22,deepseek/deepseek-r1,0.432366,0.113324,0.075748,0.545689
2025-11-22,google/gemini-3-pro-image-preview,0.102643,0.197906,0.043428,0.30055
2025-11-22,openai/gpt-5.1,8.019944,0.421462,0.229302,8.441407
2025-11-22,qwen/qwen3-embedding-8b,3.494302,0.0,0.0,3.494302
2025-11-22,qwen/qwen3-embedding-4b,0.100049,0.0,0.0,0.100049
2025-11-22,moonshotai/kimi-k2-thinking,2.820795,0.228689,0.160123,3.049484
2025-11-22,x-ai/grok-4.1-fast,70.392123,22.134159,14.746056,92.526283
2025-11-22,google/gemini-3-pro-preview,20.513111,1.420995,0.925489,21.934106
2025-11-23,openai/gpt-5.1-codex,2.375631,0.050294,0.034899,2.425925
2025-11-23,moonshotai/kimi-k2-thinking,2.021715,0.248467,0.192678,2.270181
2025-11-23,deepseek/deepseek-r1,0.410124,0.132355,0.090792,0.54248
2025-11-23,google/gemini-3-pro-image-preview,0.092521,0.127096,0.032221,0.219617
2025-11-23,qwen/qwen3-embedding-4b,0.049717,0.0,0.0,0.049717
2025-11-23,openai/gpt-5.1,4.160021,0.332721,0.183077,4.492742
2025-11-23,x-ai/grok-4.1-fast,85.999898,29.126052,20.123891,115.125949
2025-11-23,qwen/qwen3-embedding-8b,1.967368,0.0,0.0,1.967368
2025-11-23,google/gemini-3-pro-preview,20.389521,1.236095,0.763061,21.625617
2025-11-24,qwen/qwen3-embedding-4b,0.271123,0.0,0.0,0.271123
2025-11-24,deepseek/deepseek-r1,0.573717,0.198266,0.154318,0.771983
2025-11-24,openai/gpt-5.1-codex,2.985145,0.064761,0.043858,3.049906
2025-11-24,anthropic/claude-opus-4.5,1.502126,0.047925,0.005551,1.550051
2025-11-24,google/gemini-3-pro-image-preview,0.201159,0.37571,0.078644,0.57687
2025-11-24,qwen/qwen3-embedding-8b,5.941007,0.0,0.0,5.941007
2025-11-24,openai/gpt-5.1,5.695804,0.52373,0.290076,6.219534
2025-11-24,x-ai/grok-4.1-fast,80.816561,25.048358,16.817782,105.864918
2025-11-24,google/gemini-3-pro-preview,30.147958,1.858601,1.204771,32.006559
