Date,Provider,Provider_Display,Tokens,Model_Count
2026-01-22,ai21,AI21,0.005147,2
2026-01-22,aion-labs,AionLabs,0.169692,3
2026-01-22,alibaba,Alibaba Cloud Int.,1.564425,10
2026-01-22,amazon-bedrock,Amazon Bedrock,53.166686,10
2026-01-22,anthropic,Anthropic,83.076149,10
2026-01-22,arcee-ai,Arcee AI,0.063532,1
2026-01-22,atlas-cloud,AtlasCloud,14.587882,10
2026-01-22,azure,Azure,3.021165,10
2026-01-22,baseten,Baseten,0.990766,6
2026-01-22,black-forest-labs,Black Forest Labs,0.0,0
2026-01-22,cerebras,Cerebras,5.743648,6
2026-01-22,chutes,Chutes,27.127766,10
2026-01-22,clarifai,Clarifai,0.437051,3
2026-01-22,cloudflare,Cloudflare,0.798222,10
2026-01-22,cohere,Cohere,1.284739,4
2026-01-22,deepinfra,DeepInfra,40.811102,10
2026-01-22,deepseek,DeepSeek,24.155104,1
2026-01-22,featherless,Featherless,0.00104,2
2026-01-22,fireworks,Fireworks,4.34646,10
2026-01-22,friendli,Friendli,1.448315,8
2026-01-22,gmicloud,GMICloud,1.149624,5
2026-01-22,google-ai-studio,Google AI Studio,92.264681,10
2026-01-22,google-vertex,Google Vertex,276.442096,10
2026-01-22,groq,Groq,13.544694,10
2026-01-22,inception,Inception,0.017418,2
2026-01-22,inceptron,Inceptron,0.031359,1
2026-01-22,infermatic,Infermatic,0.111259,3
2026-01-22,inflection,Inflection,0.00055,2
2026-01-22,liquid,Liquid,0.047711,4
2026-01-22,mancer,Mancer,0.211774,8
2026-01-22,minimax,MiniMax,12.496495,4
2026-01-22,mistral,Mistral,24.593515,10
2026-01-22,modelrun,ModelRun,2.765895,4
2026-01-22,moonshotai,Moonshot AI,1.775033,3
2026-01-22,morph,Morph,0.129378,2
2026-01-22,nebius,Nebius Token Factory,7.959032,10
2026-01-22,nextbit,NextBit,0.58617,10
2026-01-22,novita,NovitaAI,58.092912,10
2026-01-22,nvidia,NVIDIA,0.744787,3
2026-01-22,open-inference,OpenInference,0.449323,4
2026-01-22,openai,OpenAI,107.622663,10
2026-01-22,parasail,Parasail,5.623991,10
2026-01-22,perplexity,Perplexity,0.867992,5
2026-01-22,phala,Phala,1.596601,8
2026-01-22,relace,Relace,0.044995,2
2026-01-22,sambanova,SambaNova,1.020977,10
2026-01-22,seed,Seed,1.122,3
2026-01-22,siliconflow,SiliconFlow,9.01325,10
2026-01-22,sourceful,Sourceful,0.008538,3
2026-01-22,streamlake,StreamLake,0.028324,1
2026-01-22,switchpoint,Switchpoint,0.000508,1
2026-01-22,together,Together,3.302666,10
2026-01-22,venice,Venice,0.876495,9
2026-01-22,wandb,Weights & Biases,2.345195,8
2026-01-22,xai,xAI,156.601147,6
2026-01-22,xiaomi,Xiaomi,95.295334,1
2026-01-22,z-ai,Z.ai,16.383797,9
2026-01-23,ai21,AI21,0.010396,2
2026-01-23,aion-labs,AionLabs,0.074001,3
2026-01-23,alibaba,Alibaba Cloud Int.,2.591946,10
2026-01-23,amazon-bedrock,Amazon Bedrock,42.362098,10
2026-01-23,anthropic,Anthropic,85.938081,10
2026-01-23,arcee-ai,Arcee AI,0.124318,1
2026-01-23,atlas-cloud,AtlasCloud,15.745157,10
2026-01-23,azure,Azure,2.736163,10
2026-01-23,baseten,Baseten,0.351615,6
2026-01-23,black-forest-labs,Black Forest Labs,0.0,0
2026-01-23,cerebras,Cerebras,6.087925,6
2026-01-23,chutes,Chutes,27.916099,10
2026-01-23,clarifai,Clarifai,0.335553,3
2026-01-23,cloudflare,Cloudflare,0.700476,10
